id,x,y,T,phi
0,0.000836249,0.000881556,6337.55,0.000176504
1,0.000727551,0.000749522,7940.64,0.000338729
2,0.000854025,0.000839238,713.469,0
3,0.000765978,0.000858609,725.117,0
4,0.000777954,0.000769297,316.877,0
5,0.000795843,0.000776616,301.234,0
6,0.000896878,0.000800474,9870.62,0.000564321
7,0.000726318,0.00073297,11566.3,0.000810586
8,0.000878131,0.000803471,1981.23,0
9,0.000784997,0.000797646,300.228,0
10,0.000860536,0.000818276,879.765,0
11,0.000810661,0.000898101,9948.58,0.000569552
12,0.00077785,0.000779618,304.874,0
13,0.000861501,0.000793496,830.735,0
14,0.000843529,0.000747342,1250.82,0
15,0.000721477,0.000825242,2396.97,0
16,0.000810766,0.000795909,300.237,0
17,0.000743573,0.000849486,1171.76,0
18,0.000801513,0.000812545,300.224,0
19,0.000780012,0.000755159,338.352,0
20,0.000838992,0.000732328,1607.01,0
21,0.000767742,0.000826326,316.707,0
22,0.000801438,0.000757335,333.207,0
23,0.000817031,0.00086294,862.692,0
24,0.000873892,0.000814729,2091.17,0
25,0.00071276,0.000828495,5338.66,0.000106914
26,0.000856304,0.000772047,547.091,0
27,0.00076055,0.000875607,3394.53,1.54931e-05
28,0.000725118,0.000790141,1972.18,0
29,0.000854869,0.000718752,12196.4,0.000943007
30,0.000716227,0.000778663,5388.64,0.000110151
31,0.000874782,0.00078341,2130.35,0
32,0.000787329,0.000876875,2147.86,0
33,0.000827629,0.000846897,359.073,0
34,0.000788916,0.000805789,300.228,0
35,0.000783042,0.000860508,901.919,0
36,0.000803749,0.000811258,300.224,0
37,0.000821065,0.000718332,5715.43,0.000134216
38,0.000869646,0.000765228,1580.37,0
39,0.000869442,0.000758908,2557.26,2.90917e-07
40,0.000712414,0.000828793,5338.66,0.000106914
41,0.00077874,0.000822408,304.854,0
42,0.000758778,0.000729366,4753.02,7.38257e-05
43,0.000788104,0.00087597,2147.86,0
44,0.000744455,0.000850271,2134.94,0
45,0.000857396,0.000719857,12196.4,0.000943007
46,0.000807471,0.000884625,4741.68,7.68316e-05
47,0.000848979,0.000812718,339.005,0
48,0.000864653,0.000854098,4038.65,3.94825e-05
49,0.0008198,0.000863256,862.692,0
50,0.000706486,0.000814588,9956.43,0.000569884
51,0.000774806,0.000729303,2364.32,0
52,0.000770422,0.00077723,304.874,0
53,0.000821357,0.000870302,2339.14,0
54,0.000721039,0.000743487,7940.64,0.000338729
55,0.00086093,0.000743119,4309.72,5.06631e-05
56,0.000777653,0.00087579,2548.44,2.53364e-07
57,0.000768724,0.00080876,306.532,0
58,0.000759547,0.000823409,362.736,0
59,0.000757678,0.000883914,8961.52,0.000445879
60,0.00077836,0.000827433,304.854,0
61,0.0007868,0.000894308,10087.6,0.000583358
62,0.000880479,0.000800263,4754.67,7.73441e-05
63,0.000779963,0.000855895,540.918,0
64,0.000760349,0.000791375,306.59,0
65,0.000775361,0.000734875,1023.45,0
66,0.000801915,0.00085187,438.592,0
67,0.000808,0.000840236,331.893,0
68,0.000738521,0.000842442,2421.03,0
69,0.000799373,0.000825466,301.251,0
70,0.000783553,0.000753114,338.352,0
71,0.000850424,0.000867677,3925.66,3.43452e-05
72,0.000789488,0.000899332,10087.6,0.000583358
73,0.000716217,0.000852408,12119.4,0.000957343
74,0.000789775,0.000815032,300.493,0
75,0.000766408,0.000727784,3138.98,8.35397e-06
76,0.000731021,0.00082348,1038.46,0
77,0.000737903,0.0007591,2548.45,2.56554e-07
78,0.00078058,0.00082077,301.936,0
79,0.000816127,0.000753508,342.24,0
80,0.000868207,0.00079287,830.735,0
81,0.000825601,0.000742269,554.91,0
82,0.000852192,0.000872522,7099.83,0.000249569
83,0.000776195,0.000732804,1023.45,0
84,0.000757442,0.000882295,8961.52,0.000445879
85,0.000788658,0.000754461,338.352,0
86,0.000747728,0.00087323,7197.44,0.000255474
87,0.000828872,0.000788678,302.026,0
88,0.000737338,0.000792982,823.402,0
89,0.000758802,0.00071827,8700.01,0.000413653
90,0.000821808,0.000882925,5271.41,0.000103441
91,0.000775416,0.000730645,1023.45,0
92,0.000821716,0.00084259,359.073,0
93,0.000701436,0.00078966,9970.66,0.000571141
94,0.000851057,0.000798798,441.606,0
95,0.000708262,0.000764811,11319.8,0.000744173
96,0.000835293,0.000887067,6337.55,0.000176504
97,0.000783794,0.00074974,457.082,0
98,0.000856999,0.000727766,7891.92,0.000328036
99,0.000848433,0.000758777,676.681,0
100,0.000884804,0.000763703,7097.58,0.000241108
101,0.000756814,0.000722615,4753.02,7.38257e-05
102,0.000747044,0.000854796,2134.94,0
103,0.000895636,0.000784029,10055.9,0.000577333
104,0.000781836,0.000850093,467.395,0
105,0.000733941,0.000822189,1038.46,0
106,0.000844756,0.000889115,8579.83,0.000399939
107,0.000786565,0.000800516,300.228,0
108,0.000771743,0.000831461,317.353,0
109,0.000784336,0.000715169,4868.64,8.23939e-05
110,0.000746468,0.000785341,461.452,0
111,0.000753277,0.000746101,1193.86,0
112,0.000757723,0.000773218,366.065,0
113,0.000701404,0.000808232,9852.18,0.000563286
114,0.000712784,0.000838136,6523.2,0.00019067
115,0.000763766,0.000753225,439.774,0
116,0.000853766,0.000738368,4386.75,5.54035e-05
117,0.000752023,0.000800243,331.955,0
118,0.000808797,0.000724882,2001.75,0
119,0.000820869,0.000799285,301.266,0
120,0.000787341,0.000867373,901.919,0
121,0.000798653,0.000706015,9863.71,0.000563911
122,0.000752566,0.000885327,8961.52,0.000445879
123,0.000733191,0.000767378,1531.21,0
124,0.000888122,0.000845142,9002.09,0.000456028
125,0.000820059,0.000851523,514.34,0
126,0.000748407,0.000804785,438.581,0
127,0.000751835,0.00083751,436.852,0
128,0.000883141,0.000760888,7097.58,0.000241108
129,0.000806774,0.000825657,301.21,0
130,0.000748319,0.000863565,3988.11,3.65247e-05
131,0.000785846,0.000848387,340.835,0
132,0.000832997,0.000753776,453.727,0
133,0.000790563,0.000764263,306.592,0
134,0.00077858,0.0008712,2548.44,2.53364e-07
135,0.000797474,0.000864741,832.921,0
136,0.000868146,0.000838357,1479.05,0
137,0.000795002,0.000794817,300.062,0
138,0.00083977,0.000819002,308.584,0
139,0.000859813,0.000819754,460.533,0
140,0.000892746,0.000816257,9996,0.000573535
141,0.000729531,0.000828685,2396.97,0
142,0.000761344,0.000872291,3394.53,1.54931e-05
143,0.000839119,0.000795517,306.738,0
144,0.000858563,0.000729575,7891.92,0.000328036
145,0.000848543,0.000812086,339.005,0
146,0.000746418,0.000787285,461.452,0
147,0.000826861,0.000749552,554.91,0
148,0.000850873,0.000788713,466.962,0
149,0.000836956,0.000743371,765.364,0
150,0.000762575,0.000823306,316.707,0
151,0.000853976,0.000863888,3925.66,3.43452e-05
152,0.000835769,0.000793069,306.738,0
153,0.000881735,0.000821571,5430.49,0.000113521
154,0.000742277,0.000825618,526.458,0
155,0.000799534,0.000886257,4782.38,7.87358e-05
156,0.000837509,0.00082089,316.32,0
157,0.000775335,0.00073938,1023.45,0
158,0.00082078,0.000787748,302.026,0
159,0.000804265,0.000866373,822.44,0
160,0.000812544,0.000827953,301.785,0
161,0.000737571,0.000726184,11447.4,0.000798022
162,0.000760389,0.000740017,712.701,0
163,0.000791743,0.000734513,824.349,0
164,0.00078001,0.000791194,300.228,0
165,0.000829007,0.000827296,304.548,0
166,0.000849011,0.000831886,433.747,0
167,0.000788451,0.000828429,301.936,0
168,0.000844748,0.000888276,8579.83,0.000399939
169,0.000801099,0.000786946,300.239,0
170,0.000748902,0.000873879,7197.44,0.000255474
171,0.000759854,0.000744909,1193.86,0
172,0.000820813,0.000793114,301.266,0
173,0.00079356,0.000893943,9894.53,0.000566226
174,0.000811305,0.000794976,300.237,0
175,0.000731371,0.000782665,879.207,0
176,0.000738258,0.000744977,4393.38,5.66124e-05
177,0.000891255,0.000766661,12097.5,0.000860908
178,0.000739035,0.000729607,11447.4,0.000798022
179,0.00076046,0.000719713,6403.01,0.000181758
180,0.000852352,0.000854707,2090.65,0
181,0.000838676,0.00071866,7224.32,0.000263631
182,0.000833878,0.000728504,3547.53,2.01951e-05
183,0.000821697,0.000877744,2339.14,0
184,0.00081155,0.000851051,454.667,0
185,0.00085959,0.000814887,460.533,0
186,0.000759316,0.000867285,2359.9,0
187,0.000739125,0.000853399,4122.72,4.35805e-05
188,0.000755489,0.000869533,2359.9,0
189,0.000748958,0.000801271,438.581,0
190,0.000751779,0.00086785,2359.9,0
191,0.000893862,0.000823589,10405,0.000615716
192,0.000863312,0.000786922,897.286,0
193,0.000734369,0.000834239,1475.66,0
194,0.000733018,0.000765379,1531.21,0
195,0.000859453,0.000861497,3925.66,3.43452e-05
196,0.000756266,0.000775762,366.065,0
197,0.000713828,0.000764707,6627.95,0.000200239
198,0.000779159,0.000755823,362.51,0
199,0.000806352,0.000885783,4741.68,7.68316e-05
